,go,pv,k,n,N,genes
276,GO_RIBONUCLEOPROTEIN_COMPLEX,1.9960129618968523e-30,165,389,1367,AAR2;ACTB;ALYREF;CALR;CSNK1A1;CTNNBL1;DDX41;DKC1;EBNA1BP2;EEF2;EEFSEC;EIF3D;EIF3F;EIF3G;EIF3H;EIF3L;EIF4B;EIF4H;FBL;GAPDH;HNRNPA1;HNRNPF;HNRNPL;HSD17B10;HSF1;IMP4;LSM10;LSM2;LSM4;MALSU1;MCRS1;MPV17L2;MRPL10;MRPL11;MRPL12;MRPL15;MRPL17;MRPL23;MRPL24;MRPL27;MRPL28;MRPL3;MRPL34;MRPL36;MRPL37;MRPL4;MRPL51;MRPL54;MRPL57;MRPL9;MRPS11;MRPS12;MRPS15;MRPS16;MRPS18A;MRPS18B;MRPS2;MRPS24;MRPS27;MRPS34;MRPS7;NAA38;NHP2;NOB1;NOC2L;NOC4L;NUFIP1;PES1;PHF5A;POP4;PRPF19;RACK1;RBM8A;RNF113A;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL18;RPL18A;RPL19;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL37;RPL37A;RPL4;RPL41;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPLP2;RPP25;RPP40;RPS11;RPS12;RPS14;RPS15;RPS15A;RPS16;RPS17;RPS18;RPS19;RPS2;RPS20;RPS21;RPS23;RPS27;RPS28;RPS29;RPS3;RPS5;RPS6;RPS7;RPS8;RPS9;RRP1;RRP9;RRS1;SF3B2;SF3B3;SF3B4;SF3B5;SLBP;SNRNP25;SNRPB;SNRPC;SNRPD2;SNU13;SRP14;SRP68;TBL3;TRIM21;U2AF2;UBA52;USP39;WDR3;WDR46;XRCC5;YBX1;YJU2;ZMAT2;ZMAT5
39,GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,2.3737716445340967e-30,68,95,1367,GET3;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL18;RPL18A;RPL19;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL37;RPL37A;RPL4;RPL41;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPLP2;RPS11;RPS12;RPS14;RPS15;RPS15A;RPS16;RPS17;RPS18;RPS19;RPS2;RPS20;RPS21;RPS23;RPS27;RPS28;RPS29;RPS3;RPS5;RPS6;RPS7;RPS8;RPS9;SGTA;SPCS1;SRP14;SRP68;UBA52
69,GO_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,2.4597559342609738e-29,72,107,1367,GET3;KDELR1;KDELR2;OS9;RER1;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL18;RPL18A;RPL19;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL37;RPL37A;RPL4;RPL41;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPLP2;RPS11;RPS12;RPS14;RPS15;RPS15A;RPS16;RPS17;RPS18;RPS19;RPS2;RPS20;RPS21;RPS23;RPS27;RPS28;RPS29;RPS3;RPS5;RPS6;RPS7;RPS8;RPS9;SGTA;SPCS1;SRP14;SRP68;UBA52
152,GO_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS,3.7499213613912026e-28,182,466,1367,ACY3;ALYREF;AP1S1;AP2M1;AP2S1;APOBEC3C;ARF1;ATG7;ATP6V0C;BANF1;C1QA;C1QBP;CCDC86;CD1D;CD209;CFL1;CHMP1A;CHMP2A;COPS6;COPS7A;CREB3;DAXX;DDB1;EIF3D;EIF3F;EIF3G;EIF3L;EIF4H;FUCA2;GADD45GIP1;GAPDH;GPX1;GSN;H2BC12;HCK;HDAC1;HLA-DRA;HMGA1;HNRNPA1;HSP90AB1;HYAL3;IFITM1;IFITM2;IFITM3;IKBKG;IPO5;IRAK1;ISG15;KARS1;KAT5;LGALS1;MSN;NDC1;NECTIN2;NUP188;OAS2;OAS3;OASL;P4HB;PARD6A;PCBP1;PCNA;PDCL3;PILRA;POLR2C;POLR2E;POLR2G;POLR2J;POLR2L;PPIA;PPIB;PPP1CA;PSMA7;PSMB10;PSMB4;PSMB5;PSMB6;PSMC3;PTBP1;RAB1B;RAB29;RACK1;RAD23A;RANBP1;RCC1;RELA;ROMO1;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL18;RPL18A;RPL19;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL37;RPL37A;RPL4;RPL41;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPLP2;RPS11;RPS12;RPS14;RPS15;RPS15A;RPS16;RPS17;RPS18;RPS19;RPS2;RPS20;RPS21;RPS23;RPS27;RPS28;RPS29;RPS3;RPS5;RPS6;RPS7;RPS8;RPS9;SEC13;SELPLG;SEPTIN6;SF3B2;SGTA;SHC1;SLC25A5;SLC25A6;SLC52A2;SMARCB1;SNAPIN;SNX3;SPCS1;STING1;SUPT4H1;TGFB1;THOC5;TLR1;TNFRSF1A;TRIM21;TRIM28;TRIM8;UBA52;UBB;UBE2I;ULBP3;USF2;VCP;VPS18;VPS37C;XRCC5;XRCC6;YWHAE
108,GO_AMIDE_BIOSYNTHETIC_PROCESS,9.41426112488833e-28,169,421,1367,AARS1;ACLY;AIMP2;APEH;ASL;AURKAIP1;C1QBP;CALR;CAPRIN1;CDC123;CDK4;CERS2;CHAC2;CHCHD1;DHPS;DPH2;DRG2;EARS2;EEF1A1;EEF2;EEFSEC;EIF3D;EIF3F;EIF3G;EIF3H;EIF3L;EIF4B;EIF4EBP1;EIF4EBP3;EIF4H;EIF5A;ELOVL1;ERAL1;FARS2;FARSA;FPGS;FTSJ1;GADD45GIP1;GAPDH;GATB;GGT1;GLE1;HARS1;HNRNPL;IARS2;KARS1;KHDRBS1;KHSRP;MALSU1;MARS2;METAP1;MGST2;MIF4GD;MPV17L2;MRPL10;MRPL11;MRPL12;MRPL15;MRPL17;MRPL23;MRPL24;MRPL27;MRPL28;MRPL3;MRPL34;MRPL36;MRPL37;MRPL4;MRPL51;MRPL54;MRPL57;MRPL9;MRPS11;MRPS12;MRPS15;MRPS16;MRPS18A;MRPS18B;MRPS2;MRPS24;MRPS27;MRPS34;MRPS7;MTHFS;MTPN;OGFOD1;OXA1L;PDHB;POLR2G;PPP1CA;PYM1;QARS1;RACK1;RBM8A;RMND1;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL18;RPL18A;RPL19;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL37;RPL37A;RPL4;RPL41;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPLP2;RPS11;RPS12;RPS14;RPS15;RPS15A;RPS16;RPS17;RPS18;RPS19;RPS2;RPS20;RPS21;RPS23;RPS27;RPS28;RPS29;RPS3;RPS5;RPS6;RPS7;RPS8;RPS9;SHMT1;SHMT2;ST6GALNAC4;TECR;TNFRSF1A;TRAP1;TRMT112;TRUB2;TUFM;UBA52;VARS1;YARS2
313,GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS,1.0388884008623964e-27,75,119,1367,DCPS;EXOSC1;EXOSC4;EXOSC5;LSM2;LSM4;NBDY;NT5C3B;POLR2G;PPP2R1A;PYM1;RBM8A;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL18;RPL18A;RPL19;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL37;RPL37A;RPL4;RPL41;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPLP2;RPS11;RPS12;RPS14;RPS15;RPS15A;RPS16;RPS17;RPS18;RPS19;RPS2;RPS20;RPS21;RPS23;RPS27;RPS28;RPS29;RPS3;RPS5;RPS6;RPS7;RPS8;RPS9;UBA52
29,GO_TRANSLATIONAL_INITIATION,1.1030592025017323e-27,78,127,1367,CDC123;EIF3D;EIF3F;EIF3G;EIF3H;EIF3L;EIF4B;EIF4EBP1;EIF4EBP3;EIF4H;GLE1;KHDRBS1;MIF4GD;POLR2G;PPP1CA;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL18;RPL18A;RPL19;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL37;RPL37A;RPL4;RPL41;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPLP2;RPS11;RPS12;RPS14;RPS15;RPS15A;RPS16;RPS17;RPS18;RPS19;RPS2;RPS20;RPS21;RPS23;RPS27;RPS28;RPS29;RPS3;RPS5;RPS6;RPS7;RPS8;RPS9;UBA52
101,GO_CELLULAR_AMIDE_METABOLIC_PROCESS,1.0496022619535983e-26,198,538,1367,AARS1;ABCD1;ABCG1;ABHD4;ACLY;ACOT2;ACOT4;AIMP2;APEH;APH1A;ASL;AURKAIP1;C1QBP;CALR;CAPRIN1;CDC123;CDK4;CERS2;CHAC2;CHCHD1;CPQ;CTSH;DGAT2;DHPS;DLST;DPH2;DRG2;EARS2;ECE2;EEF1A1;EEF2;EEFSEC;EIF3D;EIF3F;EIF3G;EIF3H;EIF3L;EIF4B;EIF4EBP1;EIF4EBP3;EIF4H;EIF5A;ELOVL1;ERAL1;ETHE1;FARS2;FARSA;FPGS;FTSJ1;GADD45GIP1;GAPDH;GATB;GGT1;GLE1;GPX1;GPX4;GSK3A;GSTK1;GSTP1;HARS1;HMGCL;HNRNPL;HTRA2;IARS2;KARS1;KHDRBS1;KHSRP;MALSU1;MARS2;METAP1;MGST2;MIF4GD;MPV17L2;MRPL10;MRPL11;MRPL12;MRPL15;MRPL17;MRPL23;MRPL24;MRPL27;MRPL28;MRPL3;MRPL34;MRPL36;MRPL37;MRPL4;MRPL51;MRPL54;MRPL57;MRPL9;MRPS11;MRPS12;MRPS15;MRPS16;MRPS18A;MRPS18B;MRPS2;MRPS24;MRPS27;MRPS34;MRPS7;MTHFS;MTPN;NAGA;OGDH;OGFOD1;OXA1L;PARK7;PDHB;PDZD11;PGAM1;PLAAT3;POLR2G;PPP1CA;PPP2R1A;PTGES;PYM1;QARS1;RACK1;RBM8A;RMND1;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL18;RPL18A;RPL19;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL37;RPL37A;RPL4;RPL41;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPLP2;RPS11;RPS12;RPS14;RPS15;RPS15A;RPS16;RPS17;RPS18;RPS19;RPS2;RPS20;RPS21;RPS23;RPS27;RPS28;RPS29;RPS3;RPS5;RPS6;RPS7;RPS8;RPS9;SHMT1;SHMT2;SPCS1;ST6GALNAC4;TECR;TMED10;TNFRSF1A;TRAP1;TRMT112;TRUB2;TUFM;UBA52;VARS1;YARS2
80,GO_PROTEIN_TARGETING_TO_MEMBRANE,2.0787573294661139e-26,78,131,1367,CDK5;FIS1;GET3;ITGB2;MIEF1;PEX16;PEX19;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL18;RPL18A;RPL19;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL37;RPL37A;RPL4;RPL41;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPLP2;RPS11;RPS12;RPS14;RPS15;RPS15A;RPS16;RPS17;RPS18;RPS19;RPS2;RPS20;RPS21;RPS23;RPS27;RPS28;RPS29;RPS3;RPS5;RPS6;RPS7;RPS8;RPS9;SGTA;SRP14;SRP68;SSR2;UBA52;VPS37C;ZDHHC12;ZDHHC24;ZDHHC4
248,GO_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,1.3327429593755654e-25,41,46,1367,RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL18;RPL18A;RPL19;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL37;RPL37A;RPL4;RPL41;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPLP2;UBA52
