,go,pv,k,n,N,genes
337,GO_T_CELL_ACTIVATION,4.2408577273051773e-10,52,192,837,ADAM17;ARG2;ATG5;AZI2;BATF;BCL10;BCL3;CCL2;CD274;CD44;CD80;CD83;CD86;CD8A;CDH26;CGAS;CLC;CLEC7A;CLECL1;FANCD2;FCGR2B;FOXN1;GPNMB;IL1B;IL23A;IL2RA;IL4R;IRF4;JAML;JMJD6;LIG4;LILRB1;MALT1;MAP3K8;NFKBID;NFKBIZ;PNP;PTPN2;PTPN22;PTPRC;RUNX1;SLC11A1;TCIRG1;TNFRSF13C;TNFRSF21;TNFSF14;TNFSF8;TNFSF9;TREML2;VAV1;VNN1;ZC3H12A
89,GO_LEUKOCYTE_MIGRATION,4.793113440458941e-10,51,187,837,ADAM10;ADAM17;ADGRE2;ADTRP;AKIRIN1;C5AR1;C5AR2;CCL11;CCL2;CCL3;CCL3L3;CCL4;CCL7;CD44;CD58;CD84;CSF1;CSF3R;CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CYP19A1;GPR15;IL1A;IL1B;IL23A;ITGAM;ITGAX;JAML;MERTK;MOSPD2;MPP1;NLRP12;OLR1;PIK3CB;PLA2G7;PTAFR;S100A8;SLC7A10;SLC8B1;STAP1;STK39;SWAP70;TNF;TNFRSF10B;TNFRSF10D;TNFSF14;VAV1;VPREB3
20,GO_CELL_CHEMOTAXIS,8.618214069953076e-10,37,115,837,ADAM10;ADAM17;ADGRE2;AKIRIN1;BIN2;C5AR1;C5AR2;CCL11;CCL2;CCL3;CCL3L3;CCL4;CCL7;CCR3;CSF1;CSF3R;CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CYP19A1;HBEGF;IL1A;IL1B;IL23A;JAML;MOSPD2;MPP1;PLA2G7;S100A8;SLC8B1;STAP1;STK39;SWAP70;TNFSF14;VAV1
88,GO_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS,9.701965287907902e-10,93,451,837,ABAT;ADAM10;ADAM17;ADTRP;AKIRIN1;ARG2;BCL10;C5AR1;C5AR2;CCL2;CCL3;CCL4;CCL7;CD180;CGAS;CHUK;CLEC7A;CNGB1;CSF1;CUL1;CXCL8;CYP19A1;FANCD2;FCGR2B;FGG;FGR;IFI16;IFNAR2;IFNLR1;IL1B;IL1R2;IL23A;IL2RA;IRAK3;IRF4;ITGAM;LILRB1;LPL;LRP8;LRRK2;MALT1;MATR3;MCPH1;MOSPD2;MPP1;MUC5AC;NFKBIZ;NLRP12;OSM;OTULIN;PLA2G7;POLR3G;PPP2R3C;PSMA1;PSMA3;PSMC6;PSMD12;PSMD6;PSME4;PTGS2;PTPN1;PTPN2;PTPN22;PTPRC;RIOK3;S100A8;SERPINF2;SLC8B1;SMPDL3B;SNW1;SOCS3;STAP1;STK39;STX3;STX4;SWAP70;TEC;TICAM1;TLR2;TLR6;TNF;TNFSF14;TNIP3;TREML2;TREML4;UBC;UBE2D1;UBE2V1;USP14;VAV1;ZC3H12A;ZMPSTE24;ZSWIM6
268,GO_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN,1.0836175286414243e-09,43,147,837,ADAM17;ALPL;BCL10;C5AR1;CASP9;CCL2;CCL3;CD180;CD274;CD80;CD86;CHUK;CSF2RB;CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CYP1A1;FCGR2B;IL1A;IL1B;IL24;IRAK3;LCN2;LILRB1;MALT1;NFKB2;NFKBIB;PLAA;PTAFR;PTGS2;PTPN22;S100A8;SCARB1;SLC11A1;STAP1;TICAM1;TLR2;TLR6;TNF;TNIP3;ZC3H12A
133,GO_GRANULOCYTE_MIGRATION,2.5859716274157347e-09,25,62,837,ADGRE2;AKIRIN1;C5AR1;C5AR2;CCL11;CCL2;CCL3;CCL3L3;CCL4;CCL7;CSF1;CSF3R;CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;IL1A;IL1B;IL23A;JAML;MOSPD2;MPP1;S100A8;VAV1
30,GO_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS,5.88659094925115e-09,35,112,837,BCL10;CCL2;CCL3;CD180;CD274;CD80;CD86;CLEC7A;CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;EME1;FCGR2B;IL1A;IL1B;IL24;LCN2;LILRB1;MALT1;NFKBIB;PLAA;PPP1R15B;PTAFR;PTPN22;SCARB1;STAP1;TICAM1;TLR2;TLR6;TNF;TNIP3;ZC3H12A;ZMPSTE24
252,GO_T_CELL_DIFFERENTIATION,7.550272569868782e-09,30,88,837,ADAM17;ATG5;BATF;BCL3;CD80;CD83;CD86;CD8A;FANCD2;FOXN1;IL23A;IL2RA;IL4R;IRF4;JMJD6;LIG4;MALT1;NFKBID;NFKBIZ;PNP;PTPN2;PTPN22;PTPRC;RUNX1;TCIRG1;TNFSF8;TNFSF9;VAV1;VNN1;ZC3H12A
375,GO_NEUTROPHIL_MIGRATION,8.09539020540124e-09,22,52,837,C5AR1;C5AR2;CCL11;CCL2;CCL3;CCL3L3;CCL4;CCL7;CSF3R;CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;IL1A;IL1B;IL23A;JAML;MOSPD2;MPP1;S100A8;VAV1
351,GO_REGULATION_OF_LYMPHOCYTE_ACTIVATION,1.239746494563238e-08,46,175,837,ARG2;BCL10;CCL2;CD274;CD80;CD83;CD86;CGAS;CLC;CLCF1;CLEC7A;CLECL1;FANCD2;FCGR2B;FGR;FOXN1;GPNMB;IL1B;IL23A;IL2RA;IL4R;IRF4;LILRB1;MALT1;MAP3K8;MERTK;NFKBID;NFKBIZ;PNP;PPP2R3C;PTPN2;PTPN22;PTPRC;RUNX1;SAMSN1;SHLD2;SHLD3;TICAM1;TNFRSF13C;TNFRSF21;TNFSF14;TNFSF8;TNFSF9;VAV1;VNN1;ZC3H12A
116,GO_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS,1.3801937877884825e-08,93,474,837,ADAM10;ADAM17;ADGRE2;AKIRIN1;BCL10;BTNL10;C12orf4;C5AR1;C5AR2;CCL2;CCL3;CCL4;CCL7;CD274;CD80;CD83;CD84;CD86;CGAS;CHUK;CLCF1;CLEC7A;CLECL1;CSF1;CUL1;CXCL8;FCGR2B;FGG;FGR;IFI16;IL1B;IL23A;IL2RA;IL4R;IRAK3;IRF4;ITGAM;KCNN4;KLHL6;LIF;LILRB1;LRRK2;MALT1;MAP3K8;MATR3;MOSPD2;MUC5AC;NFKBID;NFKBIZ;OTULIN;PIK3CB;PLA2G7;PNP;POLR3G;PPP2R3C;PSMA1;PSMA3;PSMC6;PSMD12;PSMD6;PSME4;PTAFR;PTPN2;PTPN22;PTPRC;RIOK3;RUNX1;S100A8;SHLD2;SHLD3;SLC11A1;SMPDL3B;STAP1;STK39;STX4;SWAP70;TEC;TICAM1;TLR2;TLR6;TNF;TNFRSF13C;TNFRSF21;TNFSF14;TNFSF9;TNIP3;TREML4;UBC;UBE2D1;UBE2V1;VAV1;VNN1;ZC3H12A
262,GO_LYMPHOCYTE_DIFFERENTIATION,1.53495809928196e-08,36,121,837,ADAM17;ADGRG3;ATG5;BATF;BCL3;CD80;CD83;CD86;CD8A;CEBPG;CLCF1;FANCD2;FCGR2B;FOXN1;IL23A;IL2RA;IL4R;IRF4;JMJD6;LIG4;MALT1;MERTK;NFKBID;NFKBIZ;PNP;PPP2R3C;PTPN2;PTPN22;PTPRC;RUNX1;TCIRG1;TNFSF8;TNFSF9;VAV1;VNN1;ZC3H12A
79,GO_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,1.8981291004585667e-08,76,363,837,ADAM10;ADGRE2;ADGRG3;ARHGAP9;ARMC8;ATP6V0A1;ATP8B4;BATF;BCL3;BIN2;C12orf4;C5AR1;CCL3;CD180;CD44;CD58;CD80;CD84;CD86;CHIT1;CLCF1;CTSZ;CXCL1;CYBB;FCAR;FCGR2B;FGR;GAPT;GPR84;HSPA6;IL23A;IL4R;IQGAP2;IRF4;IST1;ITGAM;ITGAX;LCN2;LIG4;LILRB1;LILRB3;MALT1;MANBA;MMP25;MOSPD2;NFKBID;NFKBIZ;NHLRC3;OLR1;ORM1;ORM2;P2RX1;PIGR;PNP;PRG2;PSMD12;PSMD6;PTAFR;PTPRC;QPCT;RAP2C;S100A8;S100P;SDCBP;SHLD2;SHLD3;SIGLEC9;SLC11A1;STX4;SWAP70;TCIRG1;TCN1;TICAM1;TLR2;VNN1;ZC3H12A
185,GO_ALPHA_BETA_T_CELL_ACTIVATION,3.166537915680915e-08,21,51,837,ARG2;BATF;BCL3;CD274;CD80;CD83;CD86;CDH26;IL23A;IL4R;IRF4;LILRB1;MALT1;NFKBID;NFKBIZ;PNP;PTPRC;RUNX1;TCIRG1;TNFSF8;ZC3H12A
82,GO_POSITIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS,3.549326665570731e-08,63,284,837,ADAM10;ADAM17;AKIRIN1;BCL10;C5AR1;CCL3;CCL4;CCL7;CD180;CGAS;CHUK;CLEC7A;CSF1;CUL1;CXCL8;FGG;IFI16;IL1B;IL23A;IRAK3;IRF4;ITGAM;LPL;LRRK2;MALT1;MATR3;MOSPD2;MUC5AC;NFKBIZ;NLRP12;OSM;OTULIN;PLA2G7;POLR3G;PSMA1;PSMA3;PSMC6;PSMD12;PSMD6;PSME4;PTGS2;PTPN22;RIOK3;S100A8;SERPINF2;SMPDL3B;SNW1;STAP1;STK39;STX3;STX4;SWAP70;TICAM1;TLR2;TLR6;TNF;TNFSF14;TNIP3;TREML4;UBC;UBE2D1;UBE2V1;VAV1
349,GO_REGULATION_OF_T_CELL_ACTIVATION,5.569587592116504e-08,37,132,837,ARG2;BCL10;CCL2;CD274;CD80;CD83;CD86;CGAS;CLC;CLECL1;FANCD2;FCGR2B;FOXN1;GPNMB;IL1B;IL23A;IL2RA;IL4R;IRF4;LILRB1;MALT1;MAP3K8;NFKBID;NFKBIZ;PNP;PTPN2;PTPN22;PTPRC;RUNX1;TNFRSF13C;TNFRSF21;TNFSF14;TNFSF8;TNFSF9;VAV1;VNN1;ZC3H12A
19,GO_MYELOID_LEUKOCYTE_MIGRATION,7.398252310845936e-08,29,91,837,ADGRE2;AKIRIN1;C5AR1;C5AR2;CCL11;CCL2;CCL3;CCL3L3;CCL4;CCL7;CSF1;CSF3R;CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CYP19A1;IL1A;IL1B;IL23A;JAML;MOSPD2;MPP1;PLA2G7;S100A8;STAP1;SWAP70;VAV1
57,GO_REGULATION_OF_IMMUNE_RESPONSE,8.304361255839199e-08,85,436,837,ADGRE2;ARG2;ATG5;BCL10;BTNL10;C12orf4;C5AR1;C5AR2;CD274;CD80;CD84;CD86;CD8A;CGAS;CHUK;CLC;CLCF1;CLEC7A;CUL1;FCGR2B;FGG;FGR;IFI16;IFNAR2;IL1B;IL23A;IL2RA;IL4R;IRAK3;IRF4;ITGAM;JAML;KCNN4;KLHL6;LILRB1;LRP8;MALT1;MATR3;MUC5AC;NCR3LG1;NFKBID;NFKBIZ;OTULIN;PIGR;PIK3CB;POLR3G;PPP2R3C;PSMA1;PSMA3;PSMC6;PSMD12;PSMD6;PSME4;PTAFR;PTPN1;PTPN2;PTPN22;PTPRC;RIOK3;RUNX1;S100A8;SAMSN1;SHLD2;SHLD3;SIGLEC9;SLC11A1;SMPDL3B;SOCS3;SPPL2A;STAP1;STX4;TEC;TICAM1;TLR2;TLR6;TNF;TNFRSF21;TNIP3;TREML2;TREML4;UBC;UBE2D1;UBE2V1;VAV1;ZC3H12A
308,GO_CYTOKINE_ACTIVITY,8.962742301309632e-08,25,72,837,CCL11;CCL2;CCL3;CCL3L3;CCL4;CCL7;CLCF1;CMTM2;CSF1;CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;IL1A;IL1B;IL23A;IL24;LIF;OSM;SLURP1;TNF;TNFSF14;TNFSF8;TNFSF9
73,GO_CYTOKINE_PRODUCTION,1.075663226052327e-07,67,318,837,ADAM17;ARG2;ATG5;AZI2;BATF;BCL10;BCL3;C5AR1;C5AR2;CCL3;CD274;CD58;CD80;CD83;CD84;CD86;CEBPG;CGAS;CHUK;CLC;CLEC7A;CLECL1;CRYBA1;CYBB;FCGR2B;FGR;GPNMB;IFI16;IL1A;IL1B;IL1R2;IL23A;IL4R;IRAK3;IRF4;LILRB1;LIPA;LPL;LRRK2;MALT1;MERTK;NFKB2;NLRP12;ORM1;ORM2;OSM;PNP;POLR2K;POLR3G;PTAFR;PTGS2;PTPN22;PTPRC;REL;RIOK3;RUNX1;S100A8;SEH1L;SERPINF2;SLC11A1;TCIRG1;TICAM1;TLR2;TLR6;TNF;TNFRSF21;ZC3H12A
59,GO_LEUKOCYTE_DIFFERENTIATION,1.1066993550976071e-07,46,187,837,ADAM17;ADGRG3;ATG5;AZI2;BATF;BCL3;CCL3;CD80;CD83;CD86;CD8A;CEBPG;CLCF1;CSF1;FANCD2;FCGR2B;FOXN1;GLO1;IFI16;IL23A;IL2RA;IL4R;IRF4;JMJD6;LIF;LIG4;LILRB1;LILRB3;MALT1;MERTK;NFKBID;NFKBIZ;PNP;PPP2R3C;PTPN2;PTPN22;PTPRC;RUNX1;TCIRG1;TLR2;TNF;TNFSF8;TNFSF9;VAV1;VNN1;ZC3H12A
15,GO_REGULATION_OF_ALPHA_BETA_T_CELL_ACTIVATION,1.4981031634372695e-07,16,34,837,ARG2;CD274;CD80;CD83;CD86;IL23A;IL4R;IRF4;LILRB1;MALT1;NFKBID;NFKBIZ;PNP;PTPRC;RUNX1;ZC3H12A
101,GO_RESPONSE_TO_BACTERIUM,1.542432424367774e-07,55,244,837,ADAM17;ALPL;ARG2;BCL10;BCL3;C5AR1;CASP9;CCL2;CCL3;CD180;CD274;CD80;CD86;CHIT1;CHUK;CSF2RB;CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CYP1A1;FCGR2B;FGR;IL1A;IL1B;IL23A;IL24;IRAK3;KLHL6;LCN2;LILRB1;LPL;MALT1;NFKB2;NFKBIB;PLAA;PRG2;PTAFR;PTGS2;PTPN22;S100A8;SCARB1;SEH1L;SLC10A2;SLC11A1;STAP1;TICAM1;TLR2;TLR6;TNF;TNFSF8;TNIP3;WFDC12;ZC3H12A
216,GO_POSITIVE_REGULATION_OF_INTERLEUKIN_2_PRODUCTION,1.8013514898761207e-07,10,14,837,CD80;CD83;CD86;CLEC7A;IL1A;IL1B;IRF4;MALT1;PTPRC;RUNX1
160,GO_ADAPTIVE_IMMUNE_RESPONSE,2.0019104759563217e-07,41,161,837,ADAM17;ARG2;BATF;BCL10;BCL3;CD274;CD80;CD84;CD86;CD8A;CLC;CLCF1;FCGR2B;GAPT;GCNT3;IL1B;IL23A;IL4R;IRF4;KLHL6;LIG4;LILRA6;LILRB1;LILRB3;MALT1;NFKB2;NFKBID;NFKBIZ;PTPRC;RNF19B;SAMSN1;SHLD2;SHLD3;SLC11A1;SWAP70;TCIRG1;TEC;TNF;TNFRSF13C;TNFRSF21;ZC3H12A
61,GO_LEUKOCYTE_MEDIATED_IMMUNITY,2.1164561194815725e-07,78,397,837,ADAM10;ADAM17;ADGRE2;ADGRG3;ARHGAP9;ARMC8;ATP6V0A1;ATP8B4;BATF;BCL10;BCL3;BIN2;C12orf4;C5AR1;CCL3;CD44;CD58;CD84;CD8A;CEBPG;CHIT1;CLC;CLCF1;CTSZ;CXCL1;CYBB;FCAR;FCGR2B;FGR;GAPT;GCNT3;GPR84;HSPA6;IL1B;IL23A;IL4R;IQGAP2;IST1;ITGAM;ITGAX;LCN2;LIG4;LILRB1;LILRB3;MALT1;MANBA;MMP25;MOSPD2;NHLRC3;OLR1;ORM1;ORM2;P2RX1;PIGR;PNP;PRG2;PSMD12;PSMD6;PTAFR;PTPRC;QPCT;RAP2C;S100A8;S100P;SDCBP;SHLD2;SHLD3;SIGLEC9;SLC11A1;STX4;SWAP70;TCIRG1;TCN1;TICAM1;TLR2;TNF;VAV1;VNN1
94,GO_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION,2.444078082532651e-07,17,39,837,ARG2;BATF;BCL3;CD274;CD80;CD83;CD86;CDH26;IL23A;IL4R;IRF4;MALT1;NFKBID;NFKBIZ;RUNX1;TCIRG1;ZC3H12A
